seed,device,total_labels,arm,overall_accuracy,common_accuracy,rare_rule_accuracy,stochastic_pocket_accuracy,active_experts,birth_count,rare_rule_births,stochastic_false_births,surprise_rate,proposal_count,stochastic_rejections,expected_uncertainty_expert_0,rare_switch_margin_mean,stochastic_switch_margin_mean,forward_work,backward_work
1,cuda,1024,single,0.7889999747276306,0.8575186133384705,0.6169013977050781,0.5274725556373596,1,0,0,0,0.0,0,0,0.20233463035019456,,,5048,1024
1,cuda,1024,raw_loss,0.8420000076293945,0.9188952445983887,0.6788732409477234,0.5192307829856873,2,1,0,0,0.072265625,1,0,0.2607003891050584,,,32773,27524
1,cuda,1024,expected_only,0.7889999747276306,0.8575186133384705,0.6169013977050781,0.5274725556373596,1,0,0,0,0.107421875,0,0,0.06809338521400778,,,5048,1024
1,cuda,1024,unvalidated,0.8180000185966492,0.8934677839279175,0.6281690001487732,0.5302197933197021,2,1,0,0,0.07421875,1,0,0.1556420233463035,,,49411,44284
1,cuda,1024,joint,0.7889999747276306,0.8575186133384705,0.6169013977050781,0.5274725556373596,1,0,0,0,0.099609375,1,0,0.14007782101167315,,,31815,26944
1,cuda,1024,environment_oracle,0.9156666398048401,0.9679964780807495,0.9577464461326599,0.5467033386230469,3,0,0,0,0.0,0,0,,,,19096,5760
1,cuda,1536,single,0.8706666827201843,0.9658044576644897,0.6028168797492981,0.535714328289032,1,0,0,0,0.0,0,0,0.15369649805447472,,,6072,1536
1,cuda,1536,raw_loss,0.8449999690055847,0.9158263802528381,0.7042253017425537,0.5384615659713745,2,1,0,0,0.06510416666666667,1,0,0.24124513618677043,,,34309,28036
1,cuda,1536,expected_only,0.8706666827201843,0.9658044576644897,0.6028168797492981,0.535714328289032,1,0,0,0,0.15299479166666666,0,0,0.0038910505836575876,,,6072,1536
1,cuda,1536,unvalidated,0.8320000171661377,0.9158263802528381,0.6647887229919434,0.46978023648262024,3,2,0,1,0.08138020833333333,2,0,0.13813229571984437,,17.972199548901457,94426,87416
1,cuda,1536,joint,0.8706666827201843,0.9658044576644897,0.6028168797492981,0.535714328289032,1,0,0,0,0.10026041666666667,4,1,0.24124513618677043,1.9089250442425914,-41.0993918302615,103576,95656
1,cuda,1536,environment_oracle,0.8846666812896729,0.9329241514205933,0.9352112412452698,0.5329670310020447,3,0,0,0,0.0,0,0,,,,21144,5760
2,cuda,512,single,0.7096666693687439,0.7692993879318237,0.5378590226173401,0.5292553305625916,1,0,0,0,0.0,0,0,0.29961089494163423,,,4024,512
2,cuda,512,raw_loss,0.7096666693687439,0.7692993879318237,0.5378590226173401,0.5292553305625916,1,0,0,0,0.107421875,0,0,0.21568627450980393,,,4024,512
2,cuda,512,expected_only,0.7096666693687439,0.7692993879318237,0.5378590226173401,0.5292553305625916,1,0,0,0,0.208984375,0,0,0.11547911547911548,,,4024,512
2,cuda,512,unvalidated,0.7709999680519104,0.84158855676651,0.5926892757415771,0.5319148898124695,2,1,0,0,0.16796875,1,0,0.21521739130434783,,,38838,34552
